date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:15	73736/73736	---M--	200	added ('OK')	image/jpeg	etag:%225e815a9-12008-5206982c29b40%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-flautas.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-flautas.jpg	(from http://www.thesenortequila.com/)
13:06:16	6867/6867	---M--	200	added ('OK')	image/png	etag:%225e815e0-1ad3-5203010cde000%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-rt-orange.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-rt-orange.png	(from http://www.thesenortequila.com/)
13:06:16	62653/62653	---M--	200	added ('OK')	image/jpeg	etag:%225e8159a-f4bd-5206982b35900%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-chimichanga1.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-chimichanga1.jpg	(from http://www.thesenortequila.com/)
13:06:18	13752/13752	---M--	200	added ('OK')	image/png	etag:%225e81581-35b8-5203010be9dc0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-lt-green.png	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-lt-green.png	(from http://www.thesenortequila.com/)
13:06:24	152280/152280	---M--	200	added ('OK')	image/jpeg	etag:%225e816b1-252d8-5208679d10040%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/gallery-shrimp-tacos.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/gallery-shrimp-tacos.jpg	(from http://www.thesenortequila.com/)
13:06:25	4352/4352	---M--	200	added ('OK')	application/javascript	etag:%225e813a0-1100-51fe936c0cf80%22	http://www.thesenortequila.com/wp-content/themes/Divi%202.4/includes/builder/scripts/frontend-builder-global-functions.js?ver=2.5.1	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/themes/Divi%202.4/includes/builder/scripts/frontend-builder-global-functions9776.js	(from http://www.thesenortequila.com/)
13:06:26	2502/2502	---M--	200	added ('OK')	application/javascript	etag:%225e81146-9c6-51fe946d8af00%22	http://www.thesenortequila.com/wp-content/plugins/scroll-back-to-top/assets/js/scroll-back-to-top.js	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/plugins/scroll-back-to-top/assets/js/scroll-back-to-top.js	(from http://www.thesenortequila.com/)
13:06:26	757/757	---M--	200	added ('OK')	application/javascript	etag:%225e81827-2f5-4eb2fd22d0a40%22	http://www.thesenortequila.com/wp-includes/js/comment-reply.min.js?ver=4.3.1	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-includes/js/comment-reply.min5b31.js	(from http://www.thesenortequila.com/)
13:06:28	82203/82203	---M--	200	added ('OK')	image/jpeg	etag:%225e815c7-1411b-5206982f06200%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-steak-cascabel.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-steak-cascabel.jpg	(from http://www.thesenortequila.com/)
13:06:29	2943/2943	---M--	200	added ('OK')	application/javascript	etag:%225e813a4-b7f-51fe936d011c0%22	http://www.thesenortequila.com/wp-content/themes/Divi%202.4/includes/builder/scripts/jquery.fitvids.js?ver=2.5.1	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/themes/Divi%202.4/includes/builder/scripts/jquery.fitvids9776.js	(from http://www.thesenortequila.com/)
13:06:29	83626/83626	---M--	200	added ('OK')	image/jpeg	etag:%225e815bd-146aa-5206982e11fc0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-santa-fe-salad.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-santa-fe-salad.jpg	(from http://www.thesenortequila.com/)
13:06:29	68277/68277	---M--	200	added ('OK')	image/jpeg	etag:%225e8158b-10ab5-5206982a416c0%22	http://www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-ceviche.jpg	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/uploads/2015/09/block-photo-ceviche.jpg	(from http://www.thesenortequila.com/)
13:06:30	8051/8051	---M--	200	added ('OK')	application/javascript	etag:%225e813aa-1f73-51fe936df5400%22	http://www.thesenortequila.com/wp-content/themes/Divi%202.4/includes/builder/scripts/waypoints.min.js?ver=2.5.1	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/themes/Divi%202.4/includes/builder/scripts/waypoints.min9776.js	(from http://www.thesenortequila.com/)
13:06:32	136585/136585	---M--	200	added ('OK')	text/css	etag:%225e812af-21589-51fe9333c8ac0%22	http://www.thesenortequila.com/wp-content/themes/Divi%202.4/css/main-styles.css?ver=2.5.1	C:/My%20Web%20Sites/tequila/www.thesenortequila.com/wp-content/themes/Divi%202.4/css/main-styles9776.css	(from http://www.thesenortequila.com/wp-content/themes/Divi%202.4/style.css?ver=2.5.1)
